Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Chad,Office Supplies,Online,L,1/27/2023,292494523,2/12/2023,4484,651.21,524.96,2920025.64,2353920.64,566105.00
Europe,Latvia,Beverages,Online,C,12/28/2022,361825549,1/23/2023,1075,47.45,31.79,51008.75,34174.25,16834.50
Sub-Saharan Africa,Ivory Coast,Baby Food,Offline,M,4/10/2023,630627222,5/4/2023,9841,255.28,159.42,2512595.48,1568806.22,943789.26
Asia,Mongolia,Cereal,Online,C,2/15/2023,735752273,3/10/2023,3716,205.70,117.11,764220.20,435176.76,329043.44
Sub-Saharan Africa,Senegal,Clothes,Offline,M,7/23/2023,366638053,8/20/2023,2397,109.28,35.84,261950.16,85908.48,176041.68
Europe,Denmark,Household,Offline,L,5/15/2023,486449991,6/19/2023,6989,668.27,502.54,4670101.03,3512252.06,1157848.97
Sub-Saharan Africa,Senegal,Household,Online,H,1/9/2023,926419347,2/7/2023,7293,668.27,502.54,4873863.11,3665022.22,1208840.89
Asia,Sri Lanka,Baby Food,Online,C,3/17/2023,116607876,4/27/2023,2974,255.28,159.42,759182.72,474142.08,285040.64
Sub-Saharan Africa,Burkina Faso,Vegetables,Offline,H,7/17/2023,880811536,8/28/2023,8933,154.06,90.93,1375909.98,812196.69,563713.29
Asia,Mongolia,Fruits,Offline,H,2/25/2023,203025907,4/5/2023,7332,9.33,6.92,68405.56,50729.44,17676.12
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2/1/2023,672390324,3/6/2023,5415,651.21,524.96,3526301.15,2842639.40,683661.75
Europe,Czech Republic,Beverages,Online,C,10/27/2023,963881480,11/25/2023,3491,47.45,31.79,165628.95,110979.89,54649.06
Asia,North Korea,Cereal,Offline,L,1/15/2023,341029660,2/28/2023,9842,205.70,117.11,2024491.40,1152688.62,871802.78
Europe,Czech Republic,Fruits,Online,H,11/1/2023,498603188,12/10/2023,2069,9.33,6.92,19303.77,14317.48,4986.29
Asia,Afghanistan,Vegetables,Online,H,7/4/2023,679414975,8/17/2023,6515,154.06,90.93,1003700.90,592407.95,411292.95
Sub-Saharan Africa,Gambia,Baby Food,Offline,M,5/26/2023,449023014,6/28/2023,5367,255.28,159.42,1370207.76,855508.14,514699.62
Europe,Bosnia and Herzegovina,Clothes,Online,M,11/7/2023,301456965,12/5/2023,927,109.28,35.84,101302.56,33223.68,68078.88
Asia,Sri Lanka,Cosmetics,Offline,H,7/28/2023,191708027,9/9/2023,4051,437.20,263.33,1770652.00,1066649.83,704002.17
Europe,Serbia,Household,Offline,M,2/4/2023,732711711,3/15/2023,5970,668.27,502.54,3989571.90,2999642.80,989929.10
Sub-Saharan Africa,Mali,Cosmetics,Offline,L,5/15/2023,361903971,6/4/2023,360,437.20,263.33,157392.00,94798.80,62593.20
